mu, WZ+, WZ-, Wh+, Wh-, WW, ZZ+, ZZ-, hZ+, hZ-, hh+, hh-,N2N3xc,N2C2xc,N3C2xc,C2C2xc,N1/C1 Mass,N2 Mass,N3/C2 Mass
300,0.454293,0.460123,0.424549,0.433987,0.537715,0.404111,0.40246,0.308234,0.30403,0.289582,0.289477,0.0375455,0.0762281,0.0828334,0.0434964,103.68,320.847,329.091
325,0.425853,0.428714,0.406497,0.413419,0.4868,0.38881,0.386747,0.312408,0.310313,0.299299,0.300175,0.0289939,0.0569186,0.0615888,0.0325517,105.09,343.94,352.256
350,0.402981,0.403706,0.390298,0.397165,0.447377,0.375557,0.373661,0.317179,0.309394,0.307891,0.308183,0.0218581,0.0428379,0.0450597,0.0248873,106.196,367.506,377.362
375,0.384658,0.387297,0.375999,0.386667,0.417573,0.368189,0.366617,0.322285,0.31454,0.315584,0.316542,0.0166107,0.0328863,0.0343308,0.0194441,106.22,394.08,400.552
400,0.37268,0.370285,0.366443,0.369315,0.397872,0.364295,0.359147,0.322727,0.31784,0.317793,0.318598,0.0130516,0.0255564,0.0269631,0.0151802,105.98,420.636,423.458
425,0.366236,0.359668,0.361624,0.358807,0.385962,0.360461,0.354621,0.321589,0.320307,0.317857,0.320627,0.0104355,0.0201741,0.0210716,0.0120114,106.549,445.2,447.691
450,0.362,0.356976,0.358611,0.356559,0.377415,0.356588,0.35222,0.323036,0.321695,0.320202,0.322099,0.00824328,0.0158991,0.0165311,0.00964394,107.922,470.808,472.363
475,0.357162,0.353446,0.354675,0.353235,0.369315,0.352864,0.351003,0.325036,0.325253,0.32289,0.325573,0.0064755,0.0126398,0.0131318,0.00744815,109.05,497.286,497.162
500,0.351948,0.347877,0.350185,0.347764,0.361783,0.349801,0.349879,0.325912,0.327611,0.324348,0.327854,0.00526322,0.0100709,0.0104819,0.0059419,109.483,520.272,522.127
525,0.348566,0.342996,0.347124,0.34293,0.356256,0.348263,0.348727,0.326162,0.328441,0.324886,0.328627,0.00432101,0.00779476,0.00844931,0.00491229,109.529,545.954,546.943
550,0.346991,0.340139,0.345858,0.340101,0.353091,0.348412,0.348603,0.328485,0.331747,0.327488,0.331877,0.0034925,0.00616463,0.00695627,0.00400515,109.519,572.661,571.619
575,0.345208,0.339532,0.344946,0.339507,0.350655,0.348486,0.348419,0.331189,0.333038,0.330871,0.333139,0.00282874,0.00511431,0.00577905,0.00325549,109.52,597.528,597.205
600,0.342903,0.340142,0.341861,0.340139,0.34666,0.348996,0.34603,0.33253,0.331861,0.331604,0.331952,0.00235498,0.00430547,0.0047534,0.0026747,109.521,622.184,622.24
625,0.339188,0.3395,0.33969,0.339532,0.343048,0.347201,0.342825,0.331212,0.334574,0.331682,0.334651,0.00196987,0.00361383,0.00389612,0.0022069,109.52,647.627,646.615
650,0.337967,0.337939,0.338089,0.337992,0.341101,0.34619,0.340309,0.331065,0.337214,0.331236,0.337281,0.00163263,0.00303387,0.00322943,0.00179639,109.52,671.889,671.343
675,0.337394,0.337407,0.337557,0.337457,0.340086,0.345186,0.339278,0.332194,0.336832,0.332383,0.336889,0.00135989,0.00257842,0.00271858,0.00148149,109.52,695.912,696.399
700,0.337128,0.337285,0.337359,0.337324,0.339404,0.344129,0.339732,0.334914,0.337179,0.335132,0.337225,0.00115207,0.00217299,0.00226976,0.00124727,109.515,721.977,722.255
725,0.336655,0.337238,0.336831,0.337266,0.338561,0.342183,0.340835,0.338231,0.337649,0.338391,0.337685,0.000959643,0.00182272,0.00190914,0.00105812,109.537,746.95,747.265
750,0.335784,0.337195,0.335946,0.337212,0.337389,0.338518,0.3417,0.34089,0.336672,0.341025,0.336699,0.000795232,0.00152913,0.00162476,0.000894168,109.481,770.262,771.231
775,0.336692,0.335462,0.336853,0.335474,0.338051,0.332334,0.341435,0.342883,0.334612,0.343005,0.334634,0.000660881,0.00127961,0.00135659,0.00075231,109.518,793.933,796.714
800,0.342431,0.33,0.342568,0.330016,0.343598,0.322851,0.339167,0.344682,0.332043,0.344772,0.332067,0.000552838,0.0010664,0.00116277,0.00063878,110.138,819.071,821.884